Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture
יהודה המכבי 32,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,500 ₪",2.5,1,64," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
שלומציון המלכה 17,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"4,500 ₪",2,קרקע,40," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
בן יהודה 117,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,200 ₪",2,2,48," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
עין גדי ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,500 ₪",3,1,60," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
הרב צירלסון 24,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,500 ₪",2.5,4,65," הצפון החדש - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
שדרות שאול המלך 9,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,800 ₪",3,2,80," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
צייטלין 33,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"9,000 ₪",4,3,100," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
ז'בוטינסקי ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,800 ₪",3,4,110," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
צייטלין 27,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,200 ₪",2,קרקע,40," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
דיזנגוף 240,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"4,000 ₪",1,2,25," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
אנטיגונוס ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,800 ₪",2,1,65," הצפון החדש - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
שילה 5,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,000 ₪",2.5,1,50," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
דיזנגוף 216,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"9,200 ₪",3,2,100," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
בצלאל 31,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,400 ₪",4,קרקע,82," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
לסר אורי 5,ers\sara levi\PycharmProjects\apartments-analysis\data\north,750 ₪,לא צוין,קרקע,15," הצפון החדש - דרום, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
