Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture,lon,lat
זנגביל ,north,"8,000 ₪",3,1,75," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,34.7772836,32.0908836
אבן גבירול 137,north,"6,500 ₪",3,3,70," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,35.2151673,31.7755969
דיזנגוף 216,north,"12,500 ₪",3,2,95," הצפון הישן - צפון, תל אביב יפו ",True,True,True,True,34.775291,32.087723
אבן גבירול 88,north,"13,000 ₪",5,1,102," הצפון החדש - דרום, תל אביב יפו ",False,True,True,False,35.2151673,31.7755969
בזל 27,north,"6,700 ₪",3,3,60," הצפון הישן - צפון, תל אביב יפו ",False,True,True,True,34.778351,32.090144
מודיליאני 6,north,"8,500 ₪",4.5,1,110," הצפון החדש - דרום, תל אביב יפו ",True,True,True,False,34.782801,32.080761
שדרות בן גוריון ,north,"3,500 ₪",1,קרקע,30," הצפון החדש - צפון, תל אביב יפו ",False,True,False,False,34.8599063,31.92426
יהודה המכבי 47,north,"4,800 ₪",3,1,70," הצפון החדש - צפון, תל אביב יפו ",False,True,True,False,34.78951,32.093926
צידון ,north,"4,000 ₪",1,קרקע,40," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,35.3780338,33.5618345
יהודה המכבי 37,north,"6,000 ₪",2,1,50," הצפון החדש - צפון, תל אביב יפו ",False,True,True,True,34.78787,32.093905
בן יהודה 165,north,"6,000 ₪",3,2,87," הצפון הישן - צפון, תל אביב יפו ",False,True,False,False,35.2140947,31.7807304
ברנדייס ,north,"9,500 ₪",2,3,95," הצפון החדש - צפון, תל אביב יפו ",True,True,True,True,34.9221828,32.4245037
אנטוקולסקי 3,north,לא צוין מחיר,3.5,3,100," הצפון החדש - דרום, תל אביב יפו ",True,True,True,True,34.78216,32.084476
דה האז 18,north,"7,500 ₪",3,2,56," הצפון החדש - צפון, תל אביב יפו ",False,True,True,False,34.785475,32.092618
שלומציון המלכה 17,north,"4,500 ₪",2,קרקע,40," הצפון החדש - צפון, תל אביב יפו ",False,True,False,False,34.786064,32.094941
פינלס 6,north,"2,500 ₪",1,קרקע,15," הצפון החדש - צפון, תל אביב יפו ",False,True,True,True,34.789325,32.09436
שדרות שאול המלך 9,north,"7,800 ₪",3,2,80," הצפון החדש - דרום, תל אביב יפו ",True,True,False,False,34.770477,31.259431
הצפון החדש - צפון ,north,"23,000 ₪",4.5,קרקע,270,  תל אביב יפו ,True,True,True,False,,
וייצמן 123,north,"7,500 ₪",3,2,98," הצפון החדש - צפון, תל אביב יפו ",False,True,True,False,34.7889922,32.0828125
יוחנן הגדי 5,north,"7,500 ₪",3,3,70," הצפון החדש - צפון, תל אביב יפו ",False,True,True,False,34.785623,32.094405
